phrase,paper_count,word_count
th power,190,2
laplacian eigenvalue,190,2
perfect graph,190,2
question raised,189,2
integer coefficient,189,2
additive combinatoric,189,2
normal form,189,2
graph product,189,2
weak order,188,2
rational number,187,2
finite type,187,2
spectral gap,187,2
recursive formula,186,2
odd number,186,2
directed path,186,2
acyclic graph,186,2
hypergeometric series,185,2
mixing time,184,2
combin theory ser,184,3
distinct color,182,2
configuration space,182,2
list coloring,182,2
distributive lattice,181,2
even number,181,2
vertex-transitive graph,181,2
statistical physic,180,2
sign matrix,180,2
permutation avoiding,180,2
extremal graph theory,180,3
highest weight,179,2
diagonal matrix,179,2
limiting distribution,178,2
linear equation,178,2
optimal solution,178,2
maximum value,178,2
wide range,178,2
dimensional vector,177,2
orthogonal polynomial,177,2
noncrossing partition,177,2
topological index,177,2
square matrix,176,2
alternating sign matrix,176,3
one-to-one correspondence,176,2
finite dimensional,176,2
formal power,175,2
maximal number,175,2
simple connected graph,175,3
integer point,175,2
single vertex,175,2
van der,175,2
finite simple graph,174,3
finite coxeter,174,2
grothendieck polynomial,173,2
formal power series,173,3
zero forcing,173,2
permutation pattern,172,2
critical graph,172,2
odd order,172,2
linear space,172,2
asymptotically optimal,170,2
isomorphism class,170,2
algebraic curve,169,2
motzkin path,169,2
edge weight,169,2
maximum cardinality,169,2
orientable surface,168,2
convex body,168,2
uniform distribution,167,2
simple undirected,166,2
element set,166,2
hurwitz number,165,2
progres toward,165,2
edge density,165,2
tropical geometry,164,2
planar map,164,2
graph operation,164,2
random graph model,164,3
claw-free graph,163,2
finite coxeter group,162,3
greedy algorithm,162,2
tight upper bound,162,3
element subset,162,2
grobner basi,161,2
group algebra,161,2
de bruijn,161,2
wiener index,161,2
higher dimensional,160,2
chromatic symmetric,160,2
lexicographic product,160,2
discrete mathematic,160,2
wreath product,159,2
complex number,159,2
bounded treewidth,159,2
square lattice,158,2
dimensional vector space,158,3
boolean lattice,158,2
complete partite,158,2
chromatic symmetric function,157,3
hamming graph,157,2
asymptotic expansion,157,2
forbidden subgraph,156,2
expected value,156,2
binomial random graph,156,3
complete description,156,2
sharp threshold,156,2
dimensional subspace,155,2
major index,155,2
schubert calculus,155,2
line segment,154,2
linear recurrence,154,2
quantum field,154,2
mobius function,153,2
graph namely,153,2
fundamental group,153,2
bounded maximum,153,2
homotopy equivalent,153,2
sharp lower,152,2
vertex subset,152,2
irreducible character,151,2
giant component,151,2
morse theory,150,2
hamiltonian path,149,2
minimum integer,149,2
linear order,148,2
directed acyclic,148,2
degree distribution,147,2
decomposition theorem,146,2
starting point,146,2
discrete morse,146,2
graph isomorphism,146,2
simple undirected graph,146,3
dimensional hypercube,146,2
weight function,146,2
quadratic form,145,2
question whether,145,2
graph graph,145,2
steiner triple,144,2
steiner triple system,144,3
binary code,143,2
complete intersection,143,2
block graph,143,2
smallest eigenvalue,142,2
graph homomorphism,142,2
integer lattice,141,2
plane tree,141,2
cycle graph,141,2
real line,141,2
time complexity,141,2
tight lower,141,2
finite alphabet,141,2
odd integer,141,2
eulerian number,140,2
integer programming,140,2
polynomial function,140,2
state transfer,140,2
bounded number,140,2
laurent polynomial,140,2
quantum field theory,140,3
vertex free,139,2
random tree,139,2
linear form,139,2
cluster variable,139,2
power sum,139,2
free resolution,139,2
linear-time algorithm,138,2
