phrase,paper_count,word_count
reduced,1119,1
oriented,1116,1
orthogonal,1110,1
last,1110,1
whenever,1108,1
finite set,1107,2
adjacency matrix,1106,2
monomial,1101,1
resulting,1101,1
characterized,1101,1
nonnegative,1100,1
abelian group,1100,2
range,1098,1
triangulation,1093,1
symmetric function,1083,2
infinitely,1083,1
link,1080,1
grid,1077,1
subspace,1074,1
finitely,1073,1
position,1073,1
cluster,1067,1
balanced,1064,1
giving,1064,1
column,1060,1
toward,1060,1
role,1059,1
spectrum,1051,1
domination,1050,1
shape,1048,1
produce,1045,1
aim,1038,1
negative,1037,1
flag,1033,1
young,1031,1
euclidean,1026,1
modulo,1025,1
inverse,1025,1
diagonal,1024,1
coincide,1024,1
get,1024,1
statement,1023,1
year,1019,1
ask,1017,1
hand,1012,1
forest,1011,1
expected,1009,1
criterion,1007,1
gap,1007,1
star,1006,1
tiling,1006,1
hamiltonian,1006,1
cubic,1004,1
genu,1004,1
confirm,1003,1
generally,1001,1
equality,1001,1
analyze,1001,1
move,1000,1
generator,1000,1
transformation,999,1
smaller,999,1
assumption,996,1
node,996,1
stronger,995,1
play,989,1
canonical,985,1
greater,984,1
orbit,983,1
multiplicity,976,1
still,976,1
locally,972,1
alternative,972,1
automorphism group,971,2
dense,970,1
determinant,969,1
avoiding,969,1
toric,964,1
rooted,964,1
cell,963,1
topology,959,1
probabilistic,957,1
non-trivial,956,1
alternating,955,1
like,955,1
goal,955,1
boolean,952,1
free graph,951,2
cayley graph,949,2
reduce,946,1
arc,946,1
colouring,944,1
signed,941,1
perfect matching,940,2
infinity,938,1
input,937,1
triple,937,1
cube,935,1
spanning tree,934,2
homogeneous,934,1
commutative,931,1
expressed,930,1
recursive,928,1
coxeter,926,1
simplex,925,1
choice,917,1
numerical,916,1
phenomenon,916,1
strategy,915,1
directed graph,914,2
monochromatic,913,1
orientation,911,1
duality,911,1
ratio,911,1
girth,910,1
suitable,909,1
partially,908,1
dominating,906,1
cohomology,905,1
level,904,1
forbidden,902,1
tensor,900,1
made,899,1
algorithmic,899,1
become,897,1
vector space,895,2
euler,894,1
rate,893,1
turan,892,1
transition,891,1
according,891,1
providing,886,1
existing,884,1
induce,883,1
solved,879,1
acyclic,876,1
moment,873,1
coordinate,871,1
hypercube,871,1
support,869,1
generate,869,1
contrast,867,1
applying,867,1
incidence,864,1
except,863,1
view,863,1
manifold,862,1
building,860,1
stability,858,1
de,857,1
represent,857,1
regularity,854,1
arxiv,854,1
survey,848,1
useful,847,1
theoretical,845,1
category,844,1
arbitrarily,843,1
reduction,842,1
resolve,842,1
homology,841,1
taking,840,1
mathematical,840,1
starting,839,1
optimization,836,1
increasing,835,1
enough,834,1
upon,831,1
alphabet,830,1
able,830,1
essentially,828,1
catalan,825,1
cartesian,824,1
deduce,823,1
studying,823,1
already,820,1
belong,818,1
packing,817,1
search,817,1
cut,816,1
stanley,815,1
exponent,814,1
analog,814,1
recover,812,1
far,810,1
neighbor,809,1
grassmannian,805,1
better,805,1
consecutive,805,1
considering,803,1
schubert,802,1
continuous,802,1
improvement,802,1
itself,798,1
conclude,795,1
player,794,1
inspired,793,1
embedded,792,1
side,791,1
non-negative,790,1
finite group,790,2
tropical,787,1
aspect,785,1
counterexample,784,1
leaf,784,1
regarding,783,1
compact,778,1
vertex graph,776,2
np-complete,775,1
solving,775,1
necessarily,775,1
partition function,772,2
rise,771,1
complete bipartite,767,2
famou,767,1
colour,765,1
represented,763,1
mathematic,763,1
strictly,762,1
composition,761,1
cone,761,1
congruence,761,1
converge,760,1
array,760,1
realization,759,1
labeled,757,1
precise,754,1
need,753,1
defining,753,1
undirected graph,752,2
change,750,1
graph class,748,2
ordering,747,1
fraction,745,1
subdivision,743,1
region,740,1
volume,740,1
law,739,1
absolute,738,1
transform,738,1
convergence,737,1
transitive,737,1
homomorphism,735,1
involf,734,1
random walk,734,2
image,732,1
fully,731,1
discussed,730,1
examine,729,1
factorization,727,1
polynomial-time,726,1
domination number,725,2
eulerian,722,1
parallel,722,1
purpose,722,1
base,722,1
perspective,722,1
differential,721,1
multiplicative,721,1
good,721,1
equivalently,720,1
high probability,720,2
toru,718,1
finite graph,717,2
polygon,717,1
error,717,1
periodic,716,1
viewed,714,1
intersecting,710,1
five,701,1
extremal graph,700,2
crossing,696,1
see,694,1
attention,692,1
significantly,691,1
spectral radius,690,2
semigroup,690,1
approximate,689,1
uniquely,686,1
guarantee,686,1
dominating set,684,2
fibonacci,682,1
monotone,681,1
neighborhood,680,1
labeling,679,1
achieve,678,1
positivity,677,1
suggest,676,1
member,675,1
loop,672,1
weyl,671,1
cartesian product,670,2
rainbow,668,1
modular,667,1
incident,667,1
domain,666,1
np-hard,666,1
explain,665,1
sign,664,1
complete bipartite graph,661,3
instead,659,1
circle,659,1
investigated,658,1
markov,657,1
calculate,655,1
enumerative,653,1
mapping,651,1
hilbert,651,1
relating,650,1
energy,649,1
hard,648,1
answering,648,1
although,646,1
descent,644,1
split,639,1
once,637,1
feature,636,1
progres,636,1
formulae,633,1
letter,633,1
label,633,1
ramsey number,631,2
lovasz,631,1
fractional,631,1
avoid,630,1
phase,629,1
understanding,627,1
skew,627,1
preserve,624,1
purely,624,1
flow,623,1
shortest,621,1
indexed,620,1
inversion,619,1
go,619,1
abstract,617,1
grow,615,1
involution,614,1
tend,612,1
connected component,612,2
seen,612,1
contribution,612,1
indeed,611,1
edge set,610,2
progression,610,1
beyond,609,1
come,609,1
quantity,608,1
triangular,607,1
statistical,606,1
formulation,606,1
kernel,605,1
global,604,1
establishing,603,1
enable,603,1
refinement,603,1
program,601,1
height,600,1
representation theory,600,2
verify,600,1
limiting,599,1
functional,599,1
real number,598,2
build,598,1
norm,598,1
triangle-free,598,1
polyhedral,597,1
smooth,596,1
topic,596,1
unified,595,1
primitive,595,1
ball,595,1
divisor,593,1
tutte,592,1
raised,592,1
monoid,591,1
simpler,589,1
resolution,589,1
partitioned,589,1
random variable,587,2
investigation,586,1
independence number,585,2
closure,585,1
language,585,1
reflection,584,1
alon,584,1
principle,583,1
written,583,1
projection,582,1
join,580,1
hamming,580,1
weakly,578,1
around,578,1
later,578,1
coxeter group,577,2
illustrate,576,1
combinatorially,575,1
mixed,575,1
evidence,574,1
nonzero,571,1
tournament,569,1
settle,569,1
played,568,1
yet,567,1
distributed,567,1
allowed,567,1
significant,567,1
lie algebra,566,2
otherwise,566,1
possibly,564,1
addres,564,1
circuit,563,1
potential,563,1
facet,563,1
he,561,1
totally,561,1
isolated,559,1
deterministic,558,1
schur function,557,2
generalisation,555,1
catalan number,554,2
wide,552,1
intersect,552,1
easy,551,1
regime,550,1
fan,549,1
evaluation,546,1
hull,546,1
detail,544,1
share,544,1
celebrated,544,1
chordal,544,1
deal,543,1
start,543,1
core,543,1
ingredient,543,1
encode,542,1
fixed point,542,2
observation,539,1
randomly,538,1
divisible,538,1
associate,537,1
hyperplane arrangement,537,2
joint,536,1
quiver,534,1
low,533,1
formal,533,1
act,532,1
similarly,530,1
equivariant,529,1
dyck,529,1
arithmetic progression,529,2
normalized,529,1
degree sequence,529,2
colorable,529,1
string,528,1
six,526,1
characterizing,526,1
done,525,1
subsequence,523,1
refined,522,1
achieved,521,1
homotopy,520,1
simultaneously,517,1
physic,516,1
longest,515,1
introducing,515,1
singular,514,1
hopf,511,1
highly,511,1
young tableau,509,2
science,509,1
formed,508,1
taken,507,1
point set,507,2
hamilton,506,1
directly,505,1
situation,504,1
distinct vertex,504,2
obtaining,503,1
lattice path,502,2
partite,501,1
harmonic,500,1
assert,500,1
correlation,498,1
difficult,498,1
spectra,497,1
treewidth,496,1
calculation,496,1
fail,495,1
surprisingly,494,1
symbol,492,1
width,491,1
characterisation,490,1
strengthen,489,1
tuple,488,1
nearly,488,1
empty,487,1
decide,486,1
logarithmic,486,1
compared,485,1
singularity,484,1
coding,483,1
run,482,1
modified,482,1
consequently,482,1
interested,482,1
half,481,1
non,479,1
prime power,479,2
combin,479,1
spherical,478,1
nature,478,1
entropy,477,1
cubic graph,476,2
discovered,476,1
gaussian,476,1
counterpart,475,1
euclidean space,474,2
classic,473,1
fourier,473,1
connect,472,1
recursion,472,1
stochastic,471,1
multivariate,471,1
continue,468,1
look,468,1
relevant,468,1
cluster algebra,468,2
available,468,1
equivalence class,467,2
increase,466,1
macdonald,466,1
characteristic polynomial,465,2
introduction,465,1
nonnegative integer,462,2
insight,462,1
identifying,461,1
convex hull,461,2
old,460,1
rectangular,460,1
moduli,459,1
test,458,1
clique number,457,2
valid,457,1
unknown,457,1
dyck path,456,2
slightly,456,1
multigraph,456,1
van,455,1
parity,454,1
percolation,453,1
symplectic,453,1
development,453,1
comparison,453,1
major,452,1
transfer,452,1
binomial coefficient,451,2
weyl group,450,2
table,450,1
hyperbolic,450,1
because,450,1
hypergeometric,449,1
expres,449,1
offer,449,1
calculus,448,1
rich,448,1
section,447,1
stirling,447,1
drawing,447,1
betti,446,1
identified,445,1
rectangle,445,1
scaling,445,1
help,445,1
match,444,1
hopf algebra,443,2
linearly,443,1
transversal,443,1
combined,442,1
cyclic group,442,2
capture,442,1
occurrence,440,1
inside,440,1
fast,439,1
covered,439,1
theta,439,1
box,439,1
strengthening,439,1
multiplication,438,1
deformation,437,1
well-studied,437,1
unles,436,1
initiated,435,1
observed,435,1
projective space,435,2
ehrhart,434,1
presentation,433,1
before,433,1
weaker,433,1
removing,433,1
actually,432,1
especially,432,1
simply,432,1
involve,431,1
nonempty,431,1
lattice point,431,2
deletion,431,1
markov chain,430,2
sampling,430,1
depth,430,1
making,429,1
correct,428,1
non-zero,428,1
quantitative,428,1
originally,428,1
projective plane,428,2
ramanujan,427,1
deciding,427,1
segment,427,1
hamilton cycle,426,2
expander,426,1
implication,425,1
dynamical,425,1
solf,425,1
surprising,425,1
log,424,1
removal,424,1
exponentially,423,1
appearing,423,1
steiner,422,1
ordered set,421,2
principal,421,1
flag variety,420,2
crystal,419,1
flat,419,1
wang,418,1
interpreted,417,1
countable,417,1
number theory,417,2
pure,416,1
reveal,416,1
average degree,416,2
non-negative integer,415,2
degenerate,415,1
drawn,415,1
minimum cardinality,414,2
origin,413,1
betti number,412,2
replaced,412,1
line graph,412,2
two-dimensional,412,1
fix,412,1
initiate,412,1
widely,411,1
phase transition,411,2
szemeredi,410,1
mixing,409,1
hadamard,408,1
interior,408,1
latin,408,1
cost,407,1
graphical,406,1
powerful,405,1
multiset,405,1
resolving,403,1
chen,401,1
morphism,400,1
li,400,1
zeta,400,1
chordal graph,400,2
frobeniu,399,1
andrew,399,1
binary tree,399,2
experiment,399,1
decision,398,1
